"Country","Year","Data.Health.Birth Rate","Data.Health.Death Rate","Data.Health.Fertility Rate","Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total","Data.Health.Population Growth","Data.Health.Total Population","Data.Infrastructure.Mobile Cellular Subscriptions","Data.Infrastructure.Mobile Cellular Subscriptions per 100 People","Data.Infrastructure.Telephone Lines","Data.Infrastructure.Telephone Lines per 100 People","Data.Rural Development.Agricultural Land","Data.Rural Development.Agricultural Land Percent","Data.Rural Development.Arable Land","Data.Rural Development.Arable Land Percent","Data.Rural Development.Land Area","Data.Rural Development.Rural Population","Data.Rural Development.Rural Population Growth","Data.Rural Development.Surface Area","Data.Urban Development.Population Density","Data.Urban Development.Urban Population Percent","Data.Urban Development.Urban Population Percent Growth"
"United States","1990","16.4","8.8","2.014","78.5","71.7","75.0170731707317","0.944405555428529","246819000.0","3508944.0","1.39281702990306","131504568.0","52.1985537017531","4269480.0","46.615336239049","0.752478536903561","20.2780665053674","9158960.0","61485081","0.356039611103647","9629090.0","26.9483653165862","75.089","1.14036493918274"
"United States","1991","16.7","8.6","2.081","78.8","71.8","75.2146341463415","1.12965052045579","249623000.0","5283055.0","2.07580236597907","136114201.0","53.4815898148232","4269480.0","46.615336239049","0.743825689139222","20.2726073702691","9158960.0","61656881","0.279027731366681","9629090.0","27.2545136128993","75.3","1.41025628541903"
"United States","1992","16.2","8.6","2.0625","78.9","72.0","75.3658536585366","1.33626074073779","252981000.0","7557148.0","2.93964390153817","139412884.0","54.2300129951733","4269480.0","46.615336239049","0.733952352152929","20.2726073702691","9158960.0","61471853","-0.300544208104832","9629090.0","27.6211491261017","75.701","1.86738439894312"
"United States","1993","15.8","8.5","2.046","79.12","72.33","75.6421951219512","1.38688569247935","256514000.0","11032753.0","4.249049036876","143341581.0","55.205206415147","4254290.0","46.4494877147624","0.717621650280297","20.0983517779311","9158960.0","61314541","-0.256236999797331","9629090.0","28.0068916121481","76.097","1.90863299657144"
"United States","1994","15.4","8.8","2.0195","78.8","72.2","75.419512195122","1.31867999977741","259919000.0","16009461.0","6.10371658589238","148106159.0","56.4664868580594","4229480.0","46.1786054311843","0.703095964512021","19.9529204189122","9158960.0","61112155","-0.330624269008791","9629090.0","28.3786587123429","76.488","1.83118227604993"
"United States","1995","15.0","8.8","2.0015","78.96","72.35","75.5743902439025","1.2262960888682","263126000.0","24134421.0","9.10492140674173","153447946.0","57.8895797150447","4211390.0","45.9810939233275","0.691452003982883","19.8645916130216","9158960.0","60847887","-0.433368846491766","9629090.0","28.7288076375484","76.875","1.7309822295661"
"United States","1996","14.6","8.8","1.978","78.9","72.5","75.6219512195122","1.19078709090209","266278000.0","33785661.0","12.604724896414","159659000.0","59.5654402687746","4201390.0","45.8719112213614","0.682891564455193","19.8536733428249","9158960.0","60559606","-0.474899093415709","9629090.0","29.0729515141457","77.257","1.68646666337335"
"United States","1997","14.4","8.8","1.976","79.08","73.06","75.9965853658537","1.16341161998189","269394000.0","44042992.0","16.2381524750812","166446000.0","61.3667556206755","4163060.0","45.4534139247251","0.664476565922032","19.5443587481548","9158960.0","60247274","-0.517077662960284","9629090.0","29.4131648134723","77.636","1.65278297800739"
"United States","1998","14.2","8.7","1.971","79.4","73.6","76.4292682926829","1.20396029701272","272657000.0","55312293.0","20.1423848436203","173867000.0","63.3149673546481","4148850.0","45.2982653052312","0.651338494885516","19.3899744075747","9158960.0","59962727","-0.473417401349692","9629090.0","29.7694279699879","78.008","1.68197526681483"
"United States","1999","14.3","8.6","1.999","79.5","73.8","76.5804878048781","1.16571452642589","275854000.0","69209321.0","24.8906395233348","179850000.0","64.6817719577362","4145880.0","45.2658380427472","0.640853494964728","19.3015364189821","9158960.0","59647910","-0.526404231035566","9629090.0","30.1184850681737","78.377","1.63762765741403"
"United States","2000","14.2","8.64","2.0075","79.4","73.9","76.5829268292683","1.14834004729055","279040000.0","86047003.0","30.5761029820539","189502000.0","67.3379951107091","4138870.0","45.1893009686689","0.628469036697248","19.1471520784019","9158960.0","59318323","-0.554086373778248","9629090.0","30.4663411566379","78.742","1.61295677155673"
"United States","2001","14.4","8.7","2.056","79.3","74.1","76.6365853658537","1.11276899679534","282162411.0","109478031.0","38.4680910528825","192513000.0","67.6446913158638","4143990.0","45.2305848555761","0.621514394417334","19.1409660857113","9161920.0","59093274","-0.380113564334052","9632030.0","30.7973013298523","79.057","1.51201139138713"
"United States","2002","14.1","8.5","2.0305","79.4","74.2","76.7365853658537","0.989741382223669","284968955.0","128500000.0","44.6905787439685","191570800.0","66.6257581513233","4149440.0","45.2900702036254","0.615505643412982","19.1444588033949","9161920.0","59176653","0.140997827475435","9632030.0","31.1036283879362","79.234","1.21338042170418"
"United States","2003","14.0","8.5","2.0205","79.5","74.3","76.8365853658537","0.927797485710314","287625193.0","141800000.0","48.8510382225371","189250143.0","65.1979264408577","4130640.0","45.0848730397122","0.601397249649129","18.8799945862876","9161920.0","59224903","0.0815023117954436","9632030.0","31.3935499327652","79.409","1.14841884658312"
"United States","2004","14.1","8.44","2.0475","79.6","74.5","76.9878048780488","0.859481712840946","290107933.0","160637000.0","54.8468140914012","182933281.0","62.4595059303713","4139250.0","45.1788489748874","0.591621188104498","18.7334095910028","9161920.0","59231337","0.010863083289361","9632030.0","31.6645346171981","79.583","1.07836038438036"
"United States","2005","14.0","8.34","2.0515","79.9","74.9","77.3390243902439","0.925483968943482","292805298.0","184819000.0","62.5471959845904","177690711.0","60.1348114942631","4115210.0","44.9164585589047","0.570536124657143","18.2337326673885","9161920.0","59272576","0.0695993923250513","9632030.0","31.9589450682826","79.757","1.14388530085121"
"United States","2006","14.0","8.26","2.057","79.9","74.9","77.3390243902439","0.921713167161207","295516599.0","203700000.0","68.3176950708401","175160940.0","58.7461545765425","4117840.0","44.945164332367","0.558733419911888","18.0218775103908","9161920.0","59316092","0.0733898148736528","9632030.0","32.2548765979183","79.928","1.13588459113456"
"United States","2007","14.3","8.1","2.108","80.2","75.1","77.5878048780488","0.964253917136075","298379912.0","229600000.0","76.2935384187826","167459899.0","55.6450707228308","4092148.0","44.6647427613426","0.537708114881407","17.511755177954","9161920.0","59380586","0.108670280303657","9632030.0","32.5673998463204","80.099","1.17796815968651"
"United States","2008","14.3","8.0","2.12","80.4","75.4","77.8390243902439","0.951055242772428","301231207.0","249300000.0","82.0641447853526","158418151.0","52.14781420093","4128576.0","45.0623450106528","0.537394520349281","17.6687855820614","9161920.0","59435929","0.0931570901609545","9632030.0","32.8786113609374","80.269","1.16306776101756"
